"id","case","expected","query","entity","value","alternatives"
"amb:em:classify:1","ambiguous","ask","We're short-handed for the next four months and I want to bring in an outside person to help the team. What do I need to do to get someone in?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:classify:2","ambiguous","ask","I have budget approved for extra help on the data platform this year. Before I raise anything, what should I be thinking about so we set the person up the right way?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:initiate:1","ambiguous","ask","Someone external is starting with us next month and I'm ready to raise the request. Which form do I fill in and what does it need to contain?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:initiate:2","ambiguous","ask","I have someone external lined up to start in three weeks. What approvals do I need in place before then?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:change:1","ambiguous","ask","My external worker's end date is coming up in three weeks and I'd like to keep them on until the end of the year. What do I need to do?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:change:2","ambiguous","ask","The scope of what my external worker is doing has grown quite a bit since we started. Do I need to change anything officially?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:pws:wagehour:1","ambiguous","ask","What meal and rest breaks do I need to build into my temp's shifts?","Physical work state","","California | Colorado | Illinois | Texas | Another state"
"amb:pws:wagehour:2","ambiguous","ask","My temp is on ten-hour shifts four days a week. Does that trigger overtime?","Physical work state","","California | Colorado | Illinois | Texas | Another state"
"amb:pws:wagehour:3","ambiguous","ask","If my temp skips lunch because we're slammed, do I owe them anything extra?","Physical work state","","California | Colorado | Illinois | Texas | Another state"
"amb:rk:route:1","ambiguous","ask","I need to look up one of my external workers' records. Where do I go?","Record kind","","Transaction or supplier-operation record | People identity or organization record"
"amb:wlm:travel:1","ambiguous","ask","One of my external workers will be in Portugal for two weeks next month and there is work to be done while she's there. What do we need to arrange?","Work location mode","","Short international business travel | Ongoing or worker-chosen work outside the United States"
"amb:wlm:travel:2","ambiguous","ask","My temp needs to be at a client site for a few days for the go-live. How do we handle the travel side?","Work location mode","","Work within the United States | Short international business travel"
"amb:os:route:1","ambiguous","ask","Where can I check when my external worker's assignment is due to end?","Operational system","","Beeline | BambooHR"
"amb:os:route:2","ambiguous","ask","One of my external workers isn't showing up when I search for her. Who do I contact to get that fixed?","Operational system","","Beeline | BambooHR"
"amb:os:change:1","ambiguous","ask","My worker's end date is wrong. How do I get it corrected?","Operational system","","Beeline | BambooHR"
"amb:os:change:2","ambiguous","ask","I've taken over a team and the manager on my external workers' records still shows my predecessor. How do I fix that?","Operational system","","Beeline | BambooHR"
"amb:os:onboard:1","ambiguous","ask","My new external worker starts Monday and IT says they have nothing to work from. What's missing?","Operational system","","Beeline | BambooHR"
"amb:os:end:1","ambiguous","ask","My worker finished early last week but their account is still live. What did I miss?","Operational system","","Beeline | BambooHR"
"amb:em:payments:1","ambiguous","ask","My external worker's payment for last week is waiting on me. What exactly am I approving, and by when?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:onboard:1","ambiguous","ask","My new external worker starts a week from Monday. What has to be sorted before then?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:screening:1","ambiguous","ask","Who is responsible for checking my new external worker's right to work?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:travel:1","ambiguous","ask","My external worker paid for a hotel on a work trip. How does she get reimbursed?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:flexible:1","ambiguous","ask","My external worker asked whether she could be at home two days a week instead of on site. Can I just agree to that?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:leave:1","ambiguous","ask","My external worker asked for two weeks off next month for a family situation. What do I do?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:wagehour:1","ambiguous","ask","My external worker put in about 50 hours last week. What do I owe for the extra ten?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"amb:em:end:1","ambiguous","ask","How much notice do I need to give to end my external worker's engagement early?","Engagement model","","Contingent worker | Contractor / SOW supplier"
"near:contractor:1","near-miss","ask","My contractor's hours from last week look wrong. How do I get them corrected?","contractor","","an agency temp | a supplier delivering under a Statement of Work | a self-employed individual"
"near:contractor:2","near-miss","ask","I want to bring back a contractor who worked with us last year. Do we need to redo any checks?","contractor","","an agency temp | a supplier delivering under a Statement of Work | a self-employed individual"
"near:end-the-contract:1","near-miss","ask","I need to end the contract with one of my external workers as of the 30th. What are the steps?","end the contract","","ending an agency-managed assignment | closing a deliverable-based supplier engagement"
"near:end-the-contract:2","near-miss","ask","Things aren't working out with someone on my team from outside the company and I want to end the contract early. How do I go about it?","end the contract","","ending an agency-managed assignment | closing a deliverable-based supplier engagement"
"near:rate:1","near-miss","ask","The rate for my external worker seems off compared with what we discussed. Who do I raise it with?","rate","","the agency bill rate | worker pay | fixed fee | capped time and materials"
"near:rate:2","near-miss","ask","Can we change the rate part-way through the engagement?","rate","","the agency bill rate | worker pay | fixed fee | capped time and materials"
"near:work-from-abroad:1","near-miss","ask","My temp is going to be working from Canada for two weeks in July. Is there anything I need to set up?","work from abroad","","the worker choosing to work abroad | Helvia sending them on a short business trip"
"near:work-from-abroad:2","near-miss","ask","One of my external workers asked what the rules are for working from abroad. What do I tell them?","work from abroad","","the worker choosing to work abroad | Helvia sending them on a short business trip"
"near:the-system:1","near-miss","ask","I can't see my new worker in the system yet. Is something wrong?","the system","","Beeline | BambooHR"
"near:the-system:2","near-miss","ask","Who do I ask to fix a wrong entry in the system for one of my workers?","the system","","Beeline | BambooHR"
"spec:em:classify:cw","specific","answer","We need two extra support agents from an agency for the holiday season, working our hours on our systems. What's the first step?","Engagement model","Contingent worker",""
"spec:em:classify:sow","specific","answer","We want a freelance designer to deliver a brand refresh by a fixed date for a fixed price. Which route is that, and what's involved?","Engagement model","Contractor / SOW supplier",""
"spec:em:initiate:cw","specific","answer","I'm about to put in a request for a temp from one of our agencies to cover parental leave. What do I need to have ready?","Engagement model","Contingent worker",""
"spec:em:initiate:sow","specific","answer","I've got a contractor company lined up for the website build. What do I need to raise, and who approves it?","Engagement model","Contractor / SOW supplier",""
"spec:em:change:cw","specific","answer","My agency temp's assignment ends in a month and I'd like to extend her to year end. How do I do that?","Engagement model","Contingent worker",""
"spec:em:change:sow","specific","answer","My contractor needs another six weeks to finish the migration. What do I need to change on the SOW?","Engagement model","Contractor / SOW supplier",""
"spec:pws:wagehour:ca","specific","answer","My temp in California is doing four ten-hour days. Does that mean overtime?","Physical work state","California",""
"spec:pws:wagehour:co","specific","answer","What rest breaks does my contingent worker in Colorado need on an eight-hour shift?","Physical work state","Colorado",""
"spec:pws:wagehour:il","specific","answer","My temp works from home in Illinois on eight-hour shifts. What meal break is she entitled to?","Physical work state","Illinois",""
"spec:pws:wagehour:tx","specific","answer","Do I need to schedule meal breaks for my temp in Texas?","Physical work state","Texas",""
